Kood,Vanem,Tegevusala tekst,SIIA  KUULUB,SIIA KUULUB VEEL,SIIA EI KUULU,ERIALALIIDUD,ON ERINÕUDEID?
16211,1621,Spooni ja vineeri tootmine,"− spooni tootmine vineerimiseks ning vineeri vms kihtpuitmaterjali valmistamiseks 
− vineeri, spoonitud plaatide jms kihtpuitmaterjali tootmine",,,,EI
16212,1621,Puitlaast- ja puitkiudplaadi tootmine,"− puitlaastplaatide jms plaatide tootmine:
− orienteeritud kihtidega plaadid (OSB)
− vahvelplaadid
− vaikude vms orgaaniliste sideainetega aglomeeritud või aglomeerimata plaadid
− dekoratiivse plastlaminaadiga pinnatud plaadid
− muud puitlaastplaadid
− puitkiudplaatide jms plaatide tootmine:
− keskmise tihedusega puitkiudplaadid (MDF)
− vaikude vms orgaanilise sideaine abil kokkuühendatud plaadid
− muud puitkiudplaadid",,,,EI
16219,1621,Muude puitplaatide tootmine,"− presspuidust plokkide, plaatide, prusside või profiilvormide tootmine",,"valmis katusesõrestiku tootmine liimpuidust ja metallühendusega, vt 16231",,EI
1622,162,Kilpparketi tootmine,,,,,EI
16221,1622,Kilpparketi tootmine,"− tahvliteks ühendatud kilpparketi plokkide, liistude jne tootmine",,"kokku ühendamata põrandamaterjali tootmine, vt 16101",,EI
1623,162,Ehituspuusepa- ja tisleritoodete tootmine,,,,,JAH
16231,1623,"Puidust uste, akende, aknaluukide ja nende raamide tootmine (k.a väravad)","− puidust akende, aknaraamide ja -luukide tootmine (k.a metallhingede, lukkudega jms varustatult)
− puidust uste, ukseraamide ja -piitade, lävepakkude tootmine (k.a metallhingede, lukkudega jms varustatult)
− valmis katusesõrestiku tootmine liimpuidust ja metallühendusega","− liimpuidu ja liimspoonpuidu tootmine
− melamiin, spoon ja MDF raamiga liuguste tootmine","puidust omavalmistatud akende, aknaraamide, uste, ukseraamide jms paigaldus, vt 43321",,EI
16232,1623,"Kokkupandavate puitehitiste (saunad, suvilad, majad) ja nende elementide tootmine","− kokkupandavate puitehitiste (saunad, suvilad, majad) ja nende elementide tootmine
− mobiilsete elamute tootmine",− puidust kümblustünnide tootmine,"omavalmistatud kokkupandavate puitehitiste kokkupanek ja paigaldus ehitusplatsil, vt 41201",Eesti Puitmajaliit,JAH
16239,1623,Muude ehituspuusepa- ja tisleritoodete tootmine,"− prusside, sarikate ja katusetitside tootmine
− kokkupandavate katusesõrestike tootmine liimpuidust ja metallühendusega 
− treppide ja käsipuude tootmine
− puidust vaheseinte tootmine (v.a teisaldatavad vaheseinad kui mööblielemendid)
− katusesindlite ja -laastude tootmine
− betoneerimisel kasutatava puitraketise tootmine",,"köögikappide, raamaturiiulite ja riidekappide tootmine, vt 31011, 31021, 31091
teisaldatavate puidust vaheseinte kui mööblielementide tootmine, vt 31011, 31021, 31091
omavalmistatud ehituspuusepa- ja tisleritoodete paigaldus, vt 43321",,JAH
1624,162,Puittaara tootmine,,,,,JAH
16241,1624,Puittaara ja puitaluste tootmine,"− pakkekastide, karpide, lattkastide, trumlite jms puitpakendi tootmine
− tasapinnaliste ja servadega kaubaaluste, taarakastide jms puidust kaubaaluste tootmine
− vaatide, aamide, tünnide, toobrite jm püttsepatoodete tootmine
− puidust kaablitrumlite tootmine",,"kohvrite tootmine, vt 15121
punumismaterjalist kastide tootmine, vt 16292",,JAH
1629,162,"Muude puittoodete tootmine; korgist, õlest ja punumismaterjalist toodete tootmine",,,,,JAH
16291,1629,Puidust tarbe- ja dekoratiivesemete jm puittoodete tootmine,"− tööriistade, nende kerede ja käepidemete tootmine puidust
− pintslite, harjade ja luudade kerede ja käepidemete tootmine 
− puidust lauanõude ja köögitarvete tootmine
− puidust kujukeste jm dekoratiivesemete, puitmarketrii ja -intarsia (puitmosaiik) tootmine
− puitlaegaste ja -karpide tootmine juveeltoodete, terariistade jms hoidmiseks 
− puitpoolide, -käävide, niidirullide jms puidust treitud esemete tootmine
− riidepuude tootmine
− puidust peegli- ja pildiraamide tootmine
− lõuendiraamide tootmine
− puidust saapa- ja kingaliistude ning -vormide tootmine
− puidust kingaosade tootmine (nt kontsad, liistud) 
− vihmavarjude, jalutuskeppide jms käepidemete tootmine
− piibutoorikute tootmine
− pakkude, pelletite, brikettide või graanulite tootmine aglomeeritud saepurust, puidujäätmetest või puidu aseainetest (nt sojaubade või kohvipuru)
− muude puittoodete tootmine","− puidust majapidamisnõude ja köögiriistade, ülerõiva- ja kübaranagide tootmine
− viirukipulkade tootmine","puidust puusärkide tootmine, vt 32991
kohvrite tootmine, vt 15121
puitjalatsite tootmine, vt 15201
tikkude tootmine, vt 20512
kellakorpuste tootmine, vt 26521
tekstiilimasinate jaoks puitpoolide ja niidirullide tootmine, vt 28941
mööblitootmine, vt 310
puitmänguasjade tootmine, vt 32401
luudade, harjade ja pintslite tootmine, vt 32911
laegaste tootmine, vt 32991",,JAH
16292,1629,"Korgist, õlest ja punumismaterjalist toodete tootmine","− loodusliku korgi töötlemine ja aglomeeritud korgi tootmine
− looduslikust või aglomeeritud korgist toodete tootmine, k.a põrandakatted
− põimikute ja punumismaterjalist toodete tootmine (nt matid, vaibad, sirmid, karbid jms)
− korv- ja vitspunutiste tootmine","− purustatud, granuleeritud või jahvatatud korgi tootmine
− biokatuse (õlg, pilliroog) kattematerjali tootmine
− pressitud põhu tootmine kütteks ja ehituseks (tootmishoones)","tekstiilist mattide ja mattkatete tootmine, vt 13921
korgist päästevestide tootmine, vt 32991",,JAH
17,C,Paberi ja pabertoodete tootmine,"Osa 17 hõlmab nii paberimassi, paberi kui ka töödeldud pabertoodete tootmist. Nende toodete valmistamine koosneb mitmest järjestikusest ja üksteisega liituvast töötlusprotsessist, mida sageli teostab üks tootmisüksus. Eristatud on kolm põhilist tegevust: paberimassi tootmine, mis seisneb puidust ja vanapaberist tsellulooskiudude eraldamises; paberi tootmine, mis seisneb eelnimetatud kiudude lehtedeks põimimises ning paberist ja muust materjalist pabertoodete tootmine erinevaid lõikamis- ja vormimistehnikaid kasutades, k.a katmine ja lamineerimine. 
Pabertooted võivad olla trükitud (nt tapeet, kingipakkepaber jne), kuid toote peamise otstarbe seisukohalt peab pealetrükitud info olema teisejärgulise tähtsusega.",,,,EI
171,17,"Paberimassi, paberi ja papi tootmine",,,,,EI
1711,171,Paberimassi tootmine,,,,,EI
17111,1711,Paberimassi tootmine,"− pleegitatud, poolpleegitatud või pleegitamata paberimassi tootmine mehaanilise, keemilise (lahustava või mittelahustava) või poolkeemilise protsessi abil
− kiumassi tootmine puuvillaebemetest 
− trükivärvi eemaldamine ja paberimassi valmistamine vanapaberist",,,,EI
1712,171,Paberi- ja papitootmine,,,,,JAH
17121,1712,Paberi- ja papitootmine,"− paberi ja papi tootmine edasiseks tööstuslikuks töötlemiseks
− paberi või papi pealistamine, katmine ja immutamine
− krepp- või kortsupaberi tootmine
− kihilise paberi ja papi ning fooliumi tootmine
− käsitsi valmistatud paberi ja papi tootmine
− jõupaberi tootmine
− tõrva-, bituumen- või asfaltpaberi ja -papi tootmine
− plastiga kaetud, immutatud või pealistatud paberi ja papi tootmine
− ajalehepaberi ja muu trüki- või kirjapaberi tootmine
− tselluloosvati ja tsellulooskiudkanga tootmine
− söe- või šabloonipaberi tootmine rullides või suurte lehtedena
− pinnakatteta jõupaberi ja papi, nt koti- ja kreppjõupaberi tootmine
− taimse pärgamendi, rasvakindla paberi, kalka, pärgamiini jm läikega läbipaistava või poolläbipaistva paberi tootmine
− mõõtulõikamata sigaretipaberi tootmine","− kopeerpaberi, isekopeeruva paberi tootmine","lainepaberi ja -papi tootmine, vt 17211
paberi edasisel töötlemisel saadavate toodete tootmine, vt 17221, 17231, 17241, 17291
pealistatud või immutatud paberi tootmine, kui pealistus- või immutusmaterjal on põhiliseks koostisosaks, vt klassi, kuhu kuulub pealistus- või immutusmaterjal
liivapaberi tootmine, vt 23911",,JAH
172,17,Paber- ja papptoodete tootmine,,,,,EI
1721,172,Lainepaberi ja -papi ning paber- ja papptaara tootmine,,,,,JAH
17211,1721,Lainepaberi ja -papi ning paber- ja papptaara tootmine,"− lainepaberi ja -papi tootmine 
− lainepaberist ja -papist taara tootmine (nt kastid, karbid) 
− kokkuvolditava papptaara tootmine
− taara tootmine kõvast papist 
− muu paber- ja papptaara tootmine, sh plaadiümbriste tootmine
− paberist, papist, tselluloosvatist või tsellulooskiudkangast kottide (k.a torbikud) tootmine
− kartoteegikastide, dokumendivutlarite, kirjaaluste jms kontori- ja äritarvete tootmine",,"ümbrikute tootmine, vt 17231
paberimassist vormitud või pressitud toodete tootmine (nt munarestid, pabermassist vormitud taldrikud), vt 17291",,JAH
1722,172,Paberist kodu- ja hügieenitarvete ning tualettpaberi tootmine,,,,,EI
17221,1722,"Paberist kodu- ja hügieenitarvete, k.a tekstiilvati ja vatist toodete tootmine","− majapidamis- ja tualettpaberi ning tselluloosvatist või tsellulooskiudkangast toodete tootmine:
− puhastusrätid ja -lapid
− tasku- ja käterätid (sh kosmeetilised näorätid), paberlaudlinad ja salvrätid 
− tualettpaber
− hügieenisidemed ja tampoonid, imiku pabermähkmed ja -linad, paberist rõivad ja rõivamanused
− paberist või papist tassid, taldrikud ja kandikud
− tekstiilvati ja vatist toodete tootmine (nt hügieenisidemed, tampoonid, mähkmed jms hügieenitarbed)",,"tselluloosvati tootmine, vt 17121",,EI
1723,172,Paberist kirjatarvete tootmine,,,,,EI
17231,1723,Paberist kirjatarvete tootmine,"− kasutusvalmis trüki- ja kirjapaberi tootmine
− kasutusvalmis printeripaberi tootmine
− kasutusvalmis isekopeeruva paberi tootmine
− kasutusvalmis paljundusšabloonide ja kopeerpaberi tootmine
− kasutusvalmis kummeeritud ja kleeppaberi tootmine
− kontoris, kaupluses, haridusasutustes kasutatavad kirjatarbed, milles trükitud info ei ole toote peamiseks tunnuseks (nt kirja- ja märkmeplokid, kalenderpäevikud ja -märkmikud, registreerimis-, arve-, märkme-, tellimis- ja kviitungiraamatud, kiirköitjad, vihikud, äriblanketid, sh kopeervahelehtedega blanketikomplektid, albumid näidiste ja kollektsioonide jaoks jms)
− ümbrikute ja kaartkirjade, lihtpostkaartide ja korrespondentskaartide tootmine
− valiku paberikaupu sisaldavate karpide, kottide, taskute ja kirjakomplektide tootmine",,"trükitooted paberil, vt 181",,EI
1724,172,Tapeeditootmine,,,,,EI
17241,1724,Tapeeditootmine,"− tapeedi jms seinakattematerjali tootmine, k.a vinüültapeet ja tekstiilseinakatted
− paberist aknatransparentide tootmine",,"paberi ja papi tootmine suurte rullidena, vt 17121
plasttapeedi tootmine, vt 22291",,EI
1729,172,Muude paber- ja papptoodete tootmine,,,,,JAH
17291,1729,Muude paber- ja papptoodete tootmine,"− etikettide tootmine (pealetrükiga või ilma)
− filterpaberi ja -papi tootmine, paberimassist filterplokkide, -tahvlite ja -plaatide tootmine
− volditud, vormitud või rullides sigaretipaberi tootmine
− paberist ja papist käävide, rullide, poolide jms tootmine
− munarestide ja muu paberimassist vormitud pakkematerjali tootmine
− paberist pudukauba tootmine
− žakaarmasinates kasutatavate paber- või pappkaartide tootmine
− paber- või pappalusel põrandakatete tootmine",,"mängukaartide tootmine, vt 32401
paberist ja papist mängude ja mänguasjade tootmine, vt 32401",,JAH
18,C,Trükindus ja salvestiste paljundus,"Osa 18 hõlmab ajalehtede, raamatute, perioodika, äridokumentide, õnnitluskaartide jms trükkimist ning trükinduse abitegevusi (nt raamatuköitmine, trükiplaatide valmistamine, andmete pildindus), mis on vajalikud trükitööstuse toodete (nt trükiplaat, köidetud raamat, arvutiketas või -fail) valmistamiseks.
Kujutise ülekandmiseks trükiplaadilt, ekraanilt või arvutifailist trükitavale materjalile (nt paber, plastik, metall, tekstiilitooted, puit) kasutatakse litograafiat, graveerimist, sõeltrükki, fleksograafiat jms trükitehnikaid. Tihti saadetakse andmed trükimehhanismi otse arvutifailist või kasutatakse elektrostaatilisi jm seadmeid (digitaalne või löögita trükk). Sageli üksus trükib ja kirjastab (nt ajalehed), kuid üha harvemini toimub see ühes ja samas tegevuskohas. 
Siia kuulub ka salvestiste paljundus (nt laserplaadid, videosalvestised, ketastel või lindil tarkvara jne)",,"kirjastustegevus, vt jagu J",,EI
181,18,Trükindus ja selle sidusalad,"Siia gruppi kuulub ajalehtede, raamatute, perioodika, äridokumentide, õnnitluskaartide jms trükkimine ning trükinduse abitegevused (nt raamatuköitmine, trükiplaatide valmistamine, andmete pildindus). Trükitakse erinevatele materjalidele erinevaid tehnoloogiaid kasutades.",,,Eesti Trüki- ja Pakenditööstuse Liit,EI
1811,181,Ajalehtede trükkimine,,,,,EI
18111,1811,Ajalehtede trükkimine,− vähemalt neli korda nädalas ilmuvate ajalehtede jm perioodika trükkimine,,"trükitoodete kirjastamine, vt 581
dokumentide valguskopeerimine, vt 82191",,EI
1812,181,Muu trükkimine,,,,,JAH
18121,1812,Raamatute trükkimine,"Trükitav materjal on tavaliselt kaitstud autoriõigusega (copyright).
− raamatute ja brošüüride trükkimine",,"raamatute ja brošüüride kirjastamine, vt 58111",,EI
18122,1812,"Perioodikaväljaannete, ärikataloogide, reklaammaterjalide, äriblankettide jm kontoritarvete trükkimine","Trükitav materjal on tavaliselt kaitstud autoriõigusega (copyright).
− vähem kui neli korda nädalas ilmuvate ajakirjade jm perioodika trükkimine
− ärireklaamtrükiste, kaubakataloogide, reklaamikataloogide, -prospektide jm reklaami trükkimine
− postmarkide, maksumärkide jms markide, saatedokumentide, tšekkide jm väärtpaberite ning kiipkaartide trükkimine
− registrite, albumite, päevikute, kalendrite, äridokumentide jm äritrükiste ning isiklike kirjatarvete trükkimine",,"trükitoodete kirjastamine, vt 581",,EI
18129,1812,"Mujal liigitamata trükkimine, k.a siiditrükk","Trükitav materjal on tavaliselt kaitstud autoriõigusega (copyright).
- nootide ja partituuride, maakaartide, atlaste ja plakatite trükkimine 
- muu trükkimine kõrg-, ofset-, sügav- ja sõeltrükki, fleksograafiat jm trükitehnikaid ja -presse ning paljundusaparaate, arvutiprintereid, kõrgreljeefmasinaid jms kasutades
- trükkimine otse plastile, klaasile, metallile, puidule ja keraamikale
- etikettide või lipikute trükkimine","− läbipääsukaartide trükkimine, kodeerimine
− paberist kodutarvete trükkimine
− ärikingitustele trükkimine (v.a trükkimine tekstiilile, vt ka 13301)","siiditrükk riidele ja rõivastele, vt 13301
trükitoodete kirjastamine, vt 581",,JAH
1813,181,Trükieelne tegevus,,,,,EI
18131,1813,Trükieelne tegevus,"− trükivormi koostamine, trüki- ja fotoladu, trükieelne andmesisestus, k.a skaneerimine ja optiline märgituvastus, elektroonne küljendus
− andmefailide ettevalmistamine multimeediarakenduste jaoks (trükkimine paberile, CD-ROMid ja Internet) 
− trükiplaatide valmistamine kõrg- ja ofsettrüki jaoks, k.a kujutise paigutamine ja plaadi kinnistamine 
− silindrite ettevalmistamine sügavtrükiks: silindrite graveerimine või söövitamine 
− trükiplaatide ettevalmistamine: “arvutist trükiplaadile” CTP (ka fotopolümeer-trükiplaadid) 
− trükiplaatide ja matriitside reljeeftrükiks ettevalmistamine 
− muud ettevalmistustööd:
− tehnilise iseloomuga loomingulised tööd, nt litokivide ja puitplaatide ettevalmistamine
− esitlusmeedia, nt grafoprojektorikilede jm digitaalsete esitlusvormide ettevalmistamine 
− küljendamine; visandite, makettide jms valmistamine 
− proovitõmmiste tegemine","− paljundustoodete tootmine
− esitlusandmekandjate tootmine","disainerite tegevus, vt 74101",,EI
1814,181,Köitmine ja selle sidusalad,,,,,JAH
18141,1814,Köitmine ja selle sidusalad,"− kaubanduslik köitmine, näidiste kokkupanek ning trükijärgne abitegevus, nt raamatute, brošüüride, ajakirjade, kataloogide jne kaubanduslik köitmine ja viimistlemine (nt kokkuvoltimine, lõikamine ja tasandamine, komplekteerimine, teppimine, kokkuõmblemine, liimköitmine, kaane paigaldamine, liimimine, poognate järjestamine, traageldamine, kuldtrükkimine; spiraal- ja plasttraatköitmine)
− trükitud paberi ja papi köitmine ja viimistlemine (nt voltimine, pressköitmine, puurimine, mulgustamine, perforeerimine, reljeeftrükkimine, õmblemine, liimimine, lamineerimine)
− CD-ROMide viimistlus
− postituse lõpptegevused, nt isikustamine ja ümbrike ettevalmistamine
− muud viimistlustööd, nt tembeldamine, süvistus või stantsimine, pimekirja kopeerimine",− raamatute restaureerimine,,,JAH
182,18,Salvestiste paljundus,,,,,EI
1820,182,Salvestiste paljundus,,,,,EI
18201,1820,Salvestiste paljundus,"− muusika vm helisalvestisega grammofoni- ja laserplaatide, helilintide paljundamine masterkoopialt
− kinofilmide jm videosalvestistega laserplaatide, filmilintide paljundamine masterkoopialt
− masterkoopialt (põhikoopialt) tarkvara ja andmete paljundamine plaatidele ja lintidele",,"trükiste paljundamine, vt 18111, 18121, 18122
tarkvara kirjastamine, vt 582
kino- ja videofilmide tootmine ning levitamine DVD-del jms infokandjatel, vt 59111, 59121, 59131
kinofilmide paljundamine kinolevi jaoks, vt 59121
masterkoopiate tootmine heliplaatide jm audiomaterjali jaoks, vt 59201",,EI
19,C,Koksi ja puhastatud naftatoodete tootmine,"Osa 19 hõlmab toornafta ja kivisöe töötlemist kasutuskõlblikuks tooteks. Tähtsaim töötlusprotsess on nafta rafineerimine, sh toornafta jagamine erinevateks toodeteks krakkimise ja destillatsiooni teel. 
Siia kuulub ka tööstusalale iseloomulike toodete tootmine oma tarbeks (nt koks, butaan, propaan, bensiin, petrooleum, kütteõli jne) ning töötlemisteenused (nt rafineerimine). Siia liigitatakse ka nafta rafineerimisel saadavate gaaside, nt etaani, propaani ja butaani tootmine.",,"tööstusgaasi tootmine, vt 20111
maagaasi (metaan, etaan, butaan, propaan) tootmine, vt 06201
muude naftagaasidest erinevate küttegaaside (kivisöe-, vee-, generaatori- ja põlevgaas) tootmine, vt 35211
klassi 2014 kuuluvate gaaside tootmine, vt 20141 
puhastatud naftast naftakeemiatoodete tootmine, vt 20",,EI
